Node,Eigenvector Centrality
10.1007/s11926-002-0088-8,3.5783363721446664e-14
10.1212/wnl.48.1.29,5.7339693003785175e-11
10.1212/wnl.54.1.65,3.057737482053835e-12
10.1212/wnl.58.7.1081,6.859152182990603e-14
10.1002/mus.20766,2.609560180620363e-18
10.1002/mus.20709,2.609560180620363e-18
10.1002/mus.20612,2.609560180620363e-18
10.1002/ana.21115,5.219120361240726e-18
10.1002/ana.21103,2.609560180620363e-18
10.1073/pnas.082545599,2.361549116089604e-13
10.4161/auto.4270,3.493740571230554e-16
10.1016/j.nmd.2006.08.009,1.3047800903101813e-17
10.1002/mus.1178,1.685481149883884e-13
8836611,2.609560180620363e-18
10774946,2.609560180620363e-18
15696783,2.609560180620363e-18
11411094,2.609560180620363e-18
16315367,2.609560180620363e-18
10.1074/jbc.m512649200,2.609560180620363e-18
10.1080/030097498442208,2.4854028870801267e-11
10.1016/j.febslet.2004.08.062,1.5657361083722175e-17
10.1212/wnl.48.3.567,6.993209434064656e-12
10.1007/s004010051053,2.609560180620363e-18
10.1001/jama.291.19.2367,3.147436584908229e-15
10.1002/ana.410370709,3.5692835008710142e-12
10.1002/ana.410410403,1.6658385997378457e-10
10.1002/ana.410380504,1.8245403203339237e-09
10.1016/0006-8993(93)91260-y,2.211773925908807e-09
10.1016/j.revmed.2004.04.007,2.609560180620363e-18
10.1159/000078488,1.8266921264342538e-17
10.1159/000074911,5.219120361240726e-18
10.1212/wnl.47.4.977,2.8879804468658204e-10
10.1006/exnr.1994.1109,5.066215485010374e-13
10.1097/00002281-199305060-00007,1.0083090287926673e-08
10.1097/bor.0b013e3282efe261,2.609560180620363e-18
10.1097/bor.0b013e3282efdc7c,2.609560180620363e-18
10.1097/00002281-199411000-00008,3.8372635339180395e-12
10.1097/00002281-199401000-00011,2.609560180620363e-18
10.1097/00002281-199411000-00004,3.251325424525589e-11
10.1097/00002281-199511000-00005,1.4084809250853478e-09
10.1016/j.jns.2004.11.036,2.609560180620363e-18
10.1016/j.berh.2004.02.009,2.609560180620363e-18
10.1126/science.122.3159.108,5.787083459375744e-17
10.1016/j.clinph.2007.03.023,2.609560180620363e-18
10.1097/00002281-199811000-00005,3.156546567173953e-11
10.1097/01.bor.0000142339.24380.b7,2.609560180620363e-18
10.1097/01.bor.0000143441.27065.bc,7.828680541861087e-18
10.1097/01.bor.0000141925.21941.d8,2.609560180620363e-18
10.1097/00002281-200311000-00009,3.6344419160280026e-14
10.1097/00002281-200111000-00003,2.6716339421403195e-13
10.1097/00002281-200211000-00004,9.29617438460995e-15
10.1097/00002281-199911000-00002,3.1547448884493674e-13
10.1074/jbc.275.12.8703,2.668331620483513e-12
10.1177/08830738030180030401,1.3047800903101813e-17
10.1038/ncprheum0140,2.6095601806203623e-17
10.1097/00005072-199607000-00003,6.102148539696571e-10
10.1097/00005072-199805000-00003,4.4899599721390456e-12
10.1016/s0003-9993(97)90043-5,2.4661655778370896e-11
10.1111/j.1749-6632.1998.tb10908.x,1.423965020429786e-11
9801848,2.609560180620363e-18
11774706,2.609560180620363e-18
10.1080/08916930600622132,2.609560180620363e-18
10.1093/brain/121.11.2119,4.416192464442649e-12
10.1074/jbc.m408473200,6.523900451550906e-17
10.1097/01.wco.0000183115.14175.29,2.609560180620363e-18
10.1097/00019052-200410000-00006,6.1487377997017185e-15
10.1097/00019052-200110000-00007,2.412868419594604e-13
10.1097/00019052-200210000-00002,2.232213173396457e-13
10.1097/00019052-199910000-00006,4.250787334436507e-12
10.1097/00019052-199810000-00007,2.1971928757725318e-13
10.1096/fj.06-5763fje,7.828680541861087e-18
9033257,2.609560180620363e-18
10.1016/s0197-0186(01)00064-x,3.9143402709305435e-17
10.1111/j.1445-5994.2000.tb00821.x,1.5657361083722175e-17
10.1212/wnl.51.6.1742,4.1884916067976586e-12
10.1212/01.wnl.0000277527.69388.fe,2.609560180620363e-18
10.1016/s0165-5728(97)00122-7,3.3114525002018654e-11
10.1016/s0165-5728(97)00246-4,4.576825414994721e-11
10.1016/s0165-5728(97)00245-2,2.038533850267322e-11
10.1016/s0165-5728(98)00163-5,4.191135705274787e-12
10.1016/0304-3940(95)11718-c,4.7660393124690164e-14
10.1046/j.1365-3083.2003.01251.x,1.23940293260864e-14
10.1016/s0002-9440(10)65056-0,4.798664878116601e-12
10.1007/bf02444002,2.870516198682399e-17
10.1212/wnl.54.8.1665,2.2618920083377323e-12
10.1212/wnl.43.6.1265-a,4.065671604246238e-09
10.1212/01.wnl.0000138574.56908.5d,1.218004539127553e-14
10.1097/00125480-199805000-00003,5.174266626842061e-14
10.1016/s0140-6736(01)06969-0,2.363645974446502e-13
10.1016/0304-3940(94)90785-4,9.331891304324095e-11
10.1016/0304-3940(94)11108-u,1.3679771044671355e-09
10.1016/s0733-8619(05)70337-6,5.558050037499699e-13
10.1007/s10072-005-0390-0,2.609560180620363e-18
10.1093/brain/124.2.341,2.9677223154105063e-13
10.1093/brain/120.4.653,1.0452625669696283e-10
10.1093/brain/123.10.2030,3.7819357924720684e-13
10.1093/brain/121.6.1089,4.440951556976817e-11
10.1001/archneur.61.1.132,2.609560180620363e-18
10.1001/archneur.57.11.1561,7.828680541861087e-18
10.1001/archneur.55.7.915,7.652716432923046e-11
10.1136/bmj.329.7480.1464,2.609560180620363e-18
10.1073/pnas.93.3.1314,5.015635719347801e-10
10.1016/j.nmd.2005.12.008,7.828680541861089e-18
10.1212/wnl.51.2.598,4.2091487316839075e-12
10.1212/wnl.58.3.438,3.2102241378893567e-13
10.1212/wnl.57.9.1561,5.344670906636572e-14
10.1212/wnl.42.11.2231-a,3.131472216744435e-17
10.1007/s10072-003-0090-6,2.609560180620363e-18
10.1007/s100720070103,1.0994619675967618e-12
10.1097/00005792-200109000-00006,8.600956851784678e-14
10.1016/s0002-9440(10)65681-7,8.982511928303374e-12
10.1001/archneur.1991.00530240033013,7.299349986408529e-08
9773019,2.609560180620363e-18
10.1016/s0960-8966(03)00140-8,3.030006376780313e-15
7804466,3.3971113376912957e-09
1321564,4.0211026904546667e-08
10.1016/s0002-9440(10)64983-8,2.6117951921632936e-12
10.1097/00019052-199312000-00008,3.0013012147934895e-15
10.1097/00019052-199606000-00015,1.4258787268054076e-10
10.1097/00019052-199710000-00010,1.570575115592443e-11
10.1136/jnnp.68.2.230,2.9085574459742427e-13
10.1212/01.wnl.0000237005.54105.d7,2.609560180620363e-18
12407303,6.937699944427276e-14
10617916,2.609560180620363e-18
1327303,1.689859959930554e-08
10.1016/j.neurobiolaging.2005.02.011,3.653384252868507e-17
10.1016/j.neurobiolaging.2004.06.013,1.5657361083722175e-17
10.1136/jnnp.64.3.396,6.3648707840731e-14
10.1001/archneur.55.12.1509,1.0694504597835189e-11
10.1111/j.1750-3639.2005.tb00504.x,3.1369983441857474e-15
10.1097/00001756-200107030-00010,2.2271536967168545e-13
10.1016/s0002-9440(10)65682-9,9.050030920899047e-12
10.1016/s0002-9440(10)64947-4,2.3239453538868644e-13
17039976,5.219120361240726e-18
15975052,4.250513023610459e-16
10.1016/j.jneuroim.2007.04.022,2.609560180620363e-18
10.1016/j.pharmthera.2004.04.002,1.0438240722481452e-17
10.1097/00001756-199310000-00006,4.119167878300899e-09
10.1097/00001756-199707070-00012,1.0844633700251769e-10
10.1097/00001756-199810050-00013,7.06849954337467e-12
10.1111/j.1750-3639.2001.tb00390.x,2.7501417926565833e-13
10.1097/00001756-199612200-00031,1.1471105893024845e-10
10.1006/mcne.2001.0972,5.555293113920641e-16
10.1046/j.1471-4159.1997.69041580.x,2.609560180620363e-18
10.1007/bf00294256,6.495805010997732e-10
10.1007/s00401-003-0794-y,6.0730605544637284e-15
10.1212/wnl.45.7.1302,2.1226643727413692e-09
10.1212/wnl.59.8.1170,2.4592341638626262e-14
10.1055/s-2003-38616,2.609560180620363e-18
10.1073/pnas.0603386103,5.219120361240726e-18
10.1016/s0140-6736(98)05208-8,5.456840548447437e-12
8156142,3.4796564872701156e-09
8156143,1.714167036124179e-09
7992830,3.31611860870977e-11
7992832,2.8524137606825537e-09
8178939,2.0611808690202e-09
8291607,1.5222485130822013e-08
10.1517/13543784.10.7.1265,5.342061346455951e-14
8939201,2.609560180620363e-18
10.1016/s0002-9440(10)62994-x,6.185271642230405e-15
8885477,2.609560180620363e-18
10.1016/0304-3940(92)90241-x,7.00918828812727e-09
10.1016/s0002-9440(10)63089-1,3.0412274855569824e-14
10.1358/dnp.2006.19.9.1050424,2.609560180620363e-18
10.1136/jnnp.63.6.776,4.228325928940668e-12
10.1212/wnl.53.8.1671,4.81128425063946e-12
10.1016/s0168-0102(98)00020-0,4.199549541311267e-12
10.1016/s1474-4422(07)70171-0,5.219120361240726e-18
10.1007/bf00186623,2.3790737801195624e-09
10.1136/jnnp.60.3.251,9.787138917410231e-11
10.1136/ard.2004.025494,5.219120361240726e-18
10.1103/physrevlett.89.208701,2.609560180620363e-18
10.1002/(sici)1097-4547(20000215)59:4<553::aid-jnr11>3.0.co,2.609560180620363e-18
2-4,8.725096617599946e-09
10.1002/jemt.20186,3.061321098947757e-15
10.1097/01.wad.0000183081.76820.5a,5.219120361240726e-18
10.1093/brain/awl020,1.0438240722481452e-17
10.1002/ana.410380619,6.540412723737744e-10
10.1016/s0140-6736(94)91208-4,6.130383334907988e-09
10.1016/s0304-3940(00)01485-3,2.4218462276371775e-12
1333783,3.3833156122798614e-11
10.1007/s004150050005,1.3742622396793791e-12
10.1007/s004150050087,7.013010162701042e-11
10.1007/s00401-007-0281-y,2.609560180620363e-18
10.1007/s00401-006-0079-3,2.609560180620363e-18
10.1007/s00401-005-1035-3,3.090026260934581e-15
10.1002/ana.410410116,3.4272919588195593e-13
10.1212/01.wnl.0000071219.85847.4e,3.885251350093628e-14
10.1002/mus.880180914,2.609560180620363e-18
10.1001/jama.298.21.2517,2.609560180620363e-18
10.1002/ana.410400223,3.2572588221867053e-10
10.1002/ana.410390615,1.6912999817129285e-10
10.1002/ana.410400608,2.7469439439740915e-10
10.1016/s0046-8177(97)90002-2,2.674352190502463e-11
10.1016/s0046-8177(98)90425-7,4.340016025692458e-12
10.1016/0140-6736(92)90388-j,3.96436873784697e-08
10852549,2.5550004173851924e-13
10.1016/j.nmd.2005.01.011,2.609560180620363e-18
10.1002/neu.480250505,2.637403420229882e-12
10.1093/jnen/59.7.592,2.5420803314274004e-12
10.1093/jnen/63.6.650,2.6095601806203627e-17
10.1093/jnen/60.1.1,1.9200463020804574e-12
10.1212/wnl.42.4.897,2.90618150699115e-08
10.1002/mus.20338,2.609560180620363e-18
10.1016/s0304-3940(00)01156-3,2.596099992456952e-12
10762172,1.9602966955687346e-12
10.1111/j.1365-2133.2000.03746.x,2.609560180620363e-18
10.1046/j.1365-2613.2000.00156.x,2.609560180620363e-18
10.1111/j.1471-4159.2006.03668.x,2.348604162558326e-17
10.1111/j.1471-4159.2005.03584.x,1.0438240722481452e-17
10.1097/00005072-199605000-00009,9.444923850934921e-11
10.1007/s00415-004-0353-z,5.219120361240726e-18
10.1007/s00415-003-0204-3,4.175296288992581e-17
10.1007/s00415-003-1046-8,7.828680541861089e-18
10.1212/wnl.51.6_suppl_5.s37,4.882163205471222e-12
10.1111/j.1399-0039.2004.00310.x,9.916328686357377e-17
10.1007/978-1-4615-1249-3_18,2.609560180620363e-18
10.1097/00001756-199306000-00055,1.9279147176276714e-09
10.1097/00002826-199210000-00001,1.0609216747471065e-08
10.1007/bf00334447,5.2467553642414755e-09
10.1016/j.expneurol.2006.12.014,7.828680541861087e-18
10.1136/ard.52.2.147,3.8841545880230475e-09
10.1093/hmg/ddi426,5.219120361240726e-18
10.1053/apmr.2000.5585,2.609560180620363e-18
10.1212/wnl.48.3.712,7.95878788589398e-11
10.1002/ana.410390122,1.7752282548302829e-10
10.1046/j.1365-2133.1999.03172.x,5.258555420676098e-14
10.1073/pnas.0608885104,2.609560180620363e-18
10.1016/0006-8993(95)00917-f,8.197044521922062e-12
10.1016/s0140-6736(03)14368-1,1.8814161384572638e-14
10.1016/0960-8966(93)90021-b,6.661467723014126e-10
10.1016/s0960-8966(00)00144-9,3.1632259590363833e-13
10.1016/s0960-8966(00)00219-4,6.002602429586978e-15
10.1016/s0960-8966(01)00194-8,5.342583258492076e-14
9546349,5.111130267766911e-11
10.1016/s0002-9440(10)65680-5,2.433198428437036e-12
10.1002/ana.410440215,5.446742164562597e-12
10.1038/ncpneuro0261,2.348604162558326e-17
10.1046/j.1471-4159.2003.01798.x,8.397641413006342e-14
10.1097/01.jnen.0000228204.19915.69,2.609560180620363e-18
10.1097/00005072-199611000-00001,8.31547878903018e-11
10.1093/hmg/ddm037,2.609560180620363e-18
10.1212/wnl.53.9.2184,7.828680541861089e-18
10.1002/mus.10550,7.828680541861087e-18
10.1002/mus.10462,9.277907463345607e-15
10.1002/mus.10313,5.4263501402899885e-14
10.1067/mai.2003.92,2.609560180620363e-18
10.1002/ana.410340408,4.396696383536925e-09
10.1002/ana.410400407,2.780734695127715e-11
10.1002/ana.410370615,2.51745384446133e-10
10.1007/s002510050528,2.373010918417048e-12
10.1093/ageing/afj014,2.609560180620363e-18
7925489,9.605066749110601e-11
10.1097/00001756-199505090-00024,2.443234773866173e-11
10.1145/1217821.1226695,1.426168000516686e-53
10.1093/brain/123.9.1964,3.928689697713383e-52
10.1016/s0169-7552(98)00110-x,1.0472131547097886e-50
10.1109/mc.2005.423,3.928689697713383e-52
10.1016/j.joi.2006.06.001,3.928689697713383e-52
10.1145/1147376.1147381,9.342206052030821e-51
10.1145/1168092.1168093,3.928689697713383e-52
10.1177/0165551506062327,3.928689697713383e-52
10.1038/439770a,3.928689697713383e-52
10.1145/2362499.2362502,4.110063529792853e-55
10.1371/journal.pcbi.1000361,2.1490495605108873e-18
10.1145/503124.503150,1.426168000516686e-53
10.1087/2009202,2.1490495605108873e-18
10.1007/978-3-540-89197-0_56,1.426168000516686e-53
10.1007/978-3-540-87877-3_11,2.8556795626094115e-53
10.1136/bmj.a568,8.810671100787068e-61
10.1371/journal.pbio.0040157,2.302553100547378e-18
10.1136/bmj.329.7465.546,2.7630637206568537e-18
10.1136/bmj.330.7494.759,2.302553100547378e-18
10.1136/bmj.38359.695220.82,2.302553100547378e-18
10.1136/bmj.38422.611736.e0,2.302553100547378e-18
10.1136/bmj.330.7500.1097,1.2246832830094027e-58
10.1145/2494266.2494271,1.2246832830094027e-58
10.1093/bioinformatics/btq383,7.889400898475478e-55
10.1186/1751-0473-7-7,8.451195719874962e-57
10.1186/1742-5581-3-1,1.6571638717990563e-50
10.1007/11669487_12,8.451195719874962e-57
10.14778/1687553.1687577,8.451195719874962e-57
10.1523/jneurosci.0003-08.2008,8.810671100787068e-61
10.5860/crln.68.5.7804,1.2246832830094027e-58
10.1007/978-3-319-03524-6_29,8.810671100787068e-61
10.1002/asi.23088,1.2246832830094027e-58
10.1145/2361354.2361396,1.2246832830094027e-58
10.1007/978-3-642-35176-1_26,1.2246832830094027e-58
10.1109/mis.2010.49,8.054759573695047e-55
10.1145/2494266.2494319,8.572782981065819e-57
10.1007/978-3-540-39964-3_52,8.694370242256682e-57
10.1087/20110309,1.2246832830094027e-58
10.1007/978-3-642-33876-2_12,8.694370242256682e-57
10.1002/asi.21591,1.4278702221733588e-53
10.1016/j.websem.2012.08.001,8.815957503447544e-57
10.1073/pnas.0407743101,8.810671100787068e-61
10.1177/016224399101600404,4.605106201094756e-18
10.1192/bjp.183.4.273,1.2246832830094027e-58
10.1002/asi.10278,1.2246832830094027e-58
10.1002/asi.1123,8.572782981065819e-57
10.1108/eum0000000007089,1.2246832830094027e-58
10.1126/science.144.3619.649,1.1973276122846366e-17
10.1177/007327537901700202,1.3815318603284269e-18
10.1073/pnas.0307852100,1.2246832830094027e-58
10.1007/s100510050359,1.8233707579114876e-49
10.1002/(sici)1097-4571(199308)44:7<406::aid-asi6>3.0.co,8.572782981065819e-57
2-8,6.2807564291675376e-09
10.1002/(sici)1097-4571(199312)44:10<590::aid-asi5>3.0.co,1.7023097633830687e-56
2-u,1.5895210117962816e-10
10.1007/bf02457980,8.810671100787068e-61
10.1177/030631277500500403,2.7630637206568537e-18
10.1515/9781400820412,1.2246832830094027e-58
10.1002/(sici)1097-4571(198909)40:5<342::aid-asi7>3.0.co,1.842042480437902e-18
10.1007/bf02017065,2.5560731349157976e-50
10.1007/bf02018057,1.2246832830094027e-58
10.1007/bf02017064,2.6649751566175296e-50
10.1007/bf02016669,4.93096611510489e-49
10.1177/030631285015001005,8.792452679551479e-48
10.1108/eb026703,9.21021240218951e-19
10.1177/030631284014001006,8.572782981065819e-57
10.1038/227669a0,1.2246832830094027e-58
10.1177/030631277400400102,9.21021240218951e-19
10.1177/030631277400400305,1.2246832830094027e-58
10.1017/cbo9780511814563,1.2246832830094027e-58
10.1007/978-1-349-16161-4,1.2246832830094027e-58
10.1093/spp/18.5.319,2.6649751566175296e-50
10.1186/2041-1480-1-s1-s6,2.1490495605108873e-18
10.1145/945645.945664,4.110063529792853e-55
10.1007/978-3-642-33876-2_35,4.110063529792853e-55
10.3115/1654595.1654612,4.110063529792853e-55
10.1016/j.jbi.2008.04.010,4.361066562525075e-52
10.1007/11595014_22,1.4672685477079034e-53
10.1007/978-3-642-22630-4_1,4.110063529792853e-55
10.3233/sw-2012-0073,4.110063529792853e-55
10.3233/sw-130098,4.110063529792853e-55
10.1016/j.websem.2013.05.001,8.810671100787068e-61
10.1002/asi.20702,1.2246832830094027e-58
10.1007/978-3-642-33290-6_25,1.2246832830094027e-58
10.1108/00220410610673873,1.2246832830094027e-58
10.1016/j.websem.2003.07.007,1.2246832830094027e-58
10.1007/978-3-642-30284-8_25,1.2246832830094027e-58
10.1006/ijhc.1995.1081,3.3115853468867543e-50
10.3233/sw-2012-0045,1.2246832830094027e-58
10.1002/(sici)1097-4571(198909)40:5<342::aid-asi7>3.0.co;2-u,8.810671100787068e-61
,0.9088001710510987
10.1007/s11192-009-0021-2,8.810671100787068e-61
10.1016/j.joi.2006.08.001,1.4295238089255555e-53
10.1016/s0306-4573(00)00047-9,2.3011503739075457e-51
10.1045/september2005-bauer,2.3424752293311178e-51
10.1016/j.joi.2006.12.001,3.944704854573284e-55
10.1007/s11192-005-0007-7,3.944704854573284e-55
10.3354/esep005033,1.9337842114647966e-51
10.1007/s11192-007-2071-2,1.2246832830094027e-58
10.1007/s11192-008-0220-2,3.944704854573284e-55
10.1007/s11192-008-0216-y,4.0292080011009346e-55
10.1007/s11192-008-0217-x,4.0292080011009346e-55
10.1007/s11192-006-0176-z,8.949337204727813e-51
10.1007/s11192-006-0144-7,1.7307537429472683e-50
10.1007/s11192-006-0147-4,1.730752897915803e-50
10.1007/s11192-006-0142-9,1.3900890072126532e-53
10.1007/s11192-006-0090-4,1.7307537429472683e-50
10.1023/a:1016090601710,1.9063601236450236e-51
10.1186/1742-5581-3-7,1.6585539607181626e-50
10.1002/asi.20874,8.572782981065819e-57
10.1002/asi.20771,4.0292080011009346e-55
10.1002/asi.20677,2.7818558305230263e-53
10.1002/asi.20609,7.625508831907293e-52
10.1002/asi.20584,4.132497789189944e-53
10.1515/libr.2005.170,3.1911005215693668e-49
10.1002/asi.10192,7.625424328760765e-52
10.1016/j.joi.2008.11.001,1.2246832830094027e-58
10.1073/pnas.0507655102,3.4642129705636322e-50
10.1002/asi.4630240406,3.2235743407663294e-18
10.1016/0020-0271(68)90006-5,6.447148681532659e-18
10.1103/physrev.175.2195,3.2235743407663294e-18
10.1016/0370-2693(68)90255-4,3.2235743407663294e-18
10.1002/asi.5090140103,2.5788594726130638e-17
10.1145/321186.321188,1.5196850463612697e-17
10.1016/0020-0271(71)90008-8,3.2235743407663294e-18
10.1145/1816123.1816198,8.810671100787068e-61
10.1108/jd-07-2012-0082,8.810671100787068e-61
10.1177/030631277700700112,4.14459558098528e-18
10.1177/030631277800800305,9.21021240218951e-19
10.1126/science.159.3810.56,2.742581731838627e-50
10.1002/1097-4679(197710)33:4<1157::aid-jclp2270330453>3.0.co,9.21021240218951e-19
2-b,2.8582908006702226e-11
10.1007/bf02129604,9.21021240218951e-19
10.2307/2657504,1.1747162050626194e-54
10.1037/h0081472,2.7630637206568537e-18
10.1109/bibmw.2009.5332080,1.2246832830094027e-58
10.1002/asi.4630360402,9.21021240218951e-19
10.1007/bf02458391,1.1299510900666123e-51
10.1007/bf02458395,1.2246832830094027e-58
10.1007/bf02458393,1.7023097633830687e-56
10.1016/j.cub.2007.06.014,1.2246832830094027e-58
10.1177/016555150102700101,2.5473412286595566e-56
10.1007/s11192-005-0255-6,8.572782981065819e-57
10.1007/s11192-005-0028-2,1.2246832830094027e-58
10.1023/b:scie.0000027310.68393.bc,1.2246832830094027e-58
10.1038/468763a,1.2246832830094027e-58
10.1002/asi.21466,1.2246832830094027e-58
10.1002/asi.21228,4.605106201094755e-19
10.1016/j.joi.2006.10.001,1.2246832830094027e-58
10.1016/j.ipm.2011.12.001,1.2246832830094027e-58
10.1038/493159a,4.605106201094755e-19
10.1371/journal.pone.0021101,9.21021240218951e-19
10.1371/journal.pone.0050109,4.605106201094755e-19
10.6084/m9.figshare.104629,4.605106201094755e-19
10.1038/473285a,1.8420424804379023e-18
10.1038/489496a,4.605106201094755e-19
10.5061/dryad.j1fd7,4.605106201094755e-19
10.1126/science.149.3683.510,1.1973276122846366e-17
10.1021/c160004a011,2.3946552245692732e-17
10.1002/asi.5090110105,1.1973276122846366e-17
10.1002/asi.5090140304,1.1973276122846366e-17
10.1038/495437a,1.2246832830094027e-58
10.1126/science.1212540,8.451195719874962e-57
10.1088/1126-6708/2009/09/096,8.451195719874962e-57
10.3998/3336451.0011.203,8.451195719874962e-57
10.3389/fncom.2012.00019,8.451195719874962e-57
10.1087/09531519950145896,8.451195719874962e-57
10.5281/zenodo.6759,8.451195719874962e-57
10.1042/bj20091474,2.7029619096449844e-53
10.1016/s0958-1669(97)80118-8,7.35512814660693e-52
10.1016/j.bpc.2007.11.004,7.35512814660693e-52
10.1016/j.ejps.2005.11.005,7.35512814660693e-52
10.1126/science.1121422,3.5101411078631604e-49
10.1038/nrg1872,1.729324231385173e-50
10.1093/bib/bbn043,1.729324231385173e-50
10.1093/bib/bbp024,7.35512814660693e-52
10.1093/bib/bbp031,7.35512814660693e-52
10.1038/nbt1346,4.1232944731307e-49
10.1038/nbt1008-1099,1.729324231385173e-50
10.1038/nbt1492,7.35512814660693e-52
10.1038/nbt0609-508,7.625424328760756e-52
10.1038/nrg2414,3.385097181304277e-50
10.1093/embo-reports/kvf104,4.2980991210217746e-18
10.1093/nar/gkn785,7.35512814660693e-52
10.1038/89424,1.729324231385173e-50
10.1093/bioinformatics/btl534,3.344563812871249e-49
10.1038/438548a,7.35512814660693e-52
10.1126/science.291.5507.1260,7.35512814660693e-52
10.1093/bioinformatics/btp329,7.35512814660693e-52
10.1042/bj20020957,7.35512814660693e-52
10.1093/protein/10.6.673,7.35512814660693e-52
10.1093/nar/gkj120,1.805578462425947e-50
10.1016/s0968-0004(99)01382-1,7.35512814660693e-52
10.1093/nar/gkl950,2.1490495605108873e-18
10.1039/b902178g,7.35512814660693e-52
10.1126/science.1157784,7.625424328760756e-52
10.1126/science.290.5491.471,3.5101411078631604e-49
10.1371/journal.pbio.0060240,4.605106201094755e-19
10.1093/nar/gkn664,7.625424328760756e-52
10.1042/bj20081256,7.35512814660693e-52
10.1136/bmj.2.5094.502,7.35512814660693e-52
10.1002/cfg.359,7.625424328760756e-52
10.1016/s0140-6736(00)82040-1,1.729324231385173e-50
10.1016/s0140-6736(05)74769-3,7.35512814660693e-52
10.1371/journal.pcbi.0020090,7.35512814660693e-52
10.1371/journal.pcbi.1000204,7.35512814660693e-52
10.1371/journal.pcbi.1000247,7.35512814660693e-52
10.1016/s0167-7799(01)01792-9,7.35512814660693e-52
15360782,7.35512814660693e-52
10.1016/s0097-8485(01)00069-9,1.729324231385173e-50
18846079,1.729324231385173e-50
10.1038/417119a,1.729324231385173e-50
10.1016/s1387-2656(02)08003-1,7.35512814660693e-52
10.1186/gb-2005-6-2-r21,7.1144100347677e-48
10.1641/0006-3568(2002)052[0937:os]2.0.co,7.35512814660693e-52
2,6.2854847822864015e-09
10.1186/1471-2105-8-17,3.0086693847152427e-17
10.1038/455047a,3.385097181304277e-50
10.1016/j.pbi.2004.03.008,7.35512814660693e-52
10.1038/75556,5.4186749632881655e-17
10.1186/1471-2105-10-s6-s19,7.625424328760756e-52
10.1087/095315107x243884,2.1490495605108873e-18
10.1038/npre.2009.3092.1,7.625424328760756e-52
10.1038/npre.2009.3495.1,7.35512814660693e-52
10.1038/npre.2009.3561.1,7.35512814660693e-52
